"N_per_Set","_.1","_.2","_.3","_.4","_.5","_.6"
10,6,13,24,43,64,81
20,10,25,49,76,92,99
30,14,37,70,92,99,100
40,17,49,81,97,100,100
50,20,58,89,100,100,100
60,25,68,95,100,100,100
70,30,73,97,100,100,100
80,32,80,98,100,100,100
90,35,85,100,100,100,100
100,38,88,100,100,100,100
110,39,90,100,100,100,100
120,44,93,100,100,100,100
130,47,94,100,100,100,100
140,49,96,100,100,100,100
150,52,97,100,100,100,100
160,56,98,100,100,100,100
170,57,98,100,100,100,100
180,60,98,100,100,100,100
190,61,99,100,100,100,100
200,66,99,100,100,100,100
